x;y;z
0.847833;2.75858;-0.291762
5.43189;5.85126;3.42941
4.9663;5.96046;0.100897
-3.12107;-5.48345;-0.585422
-2.26748;4.33015;-1.27656
4.99071;5.89751;0.147794
1.1839;-4.41149;0.0208585
-12.3791;-8.4399;0.684474
3.44787;9.50467;1.8531
-5.78147;0.513856;-0.439328
0.452125;-4.57206;0.0689507
-8.88844;1.76358;0.926857
-6.07046;-4.10991;-0.44845
4.89482;5.7756;0.0959497
-4.47291;-9.50315;0.221538
-5.25152;-3.11196;-2.78405
5.1559;5.6532;0.0157519
4.8022;4.90566;0.26939
-6.11133;-3.71731;1.17572
4.86898;5.07092;0.509308
6.78751;-8.8881;-0.050822
-7.6011;-3.74403;-1.077
0.860607;-4.03109;-0.0354831
12.1207;1.86216;0.432779
-10.8795;23.3764;1.61405
4.95809;4.67731;0.220681
-1.73621;-5.50151;-0.206736
2.90485;-5.27771;-0.16917
13.2604;-1.77458;-0.583625
1.18846;-4.76448;0.304957
-8.03699;-2.24101;-0.563428
-22.4073;0.968678;-1.01835
-6.02453;-3.7173;1.14831
2.80616;-7.18693;-0.325045
4.81972;4.97275;0.207611
0.108348;6.93805;3.63153
-1.38008;9.97189;-0.289436
1.58599;-2.61294;-0.0357983
27.1888;-24.6689;-1.32518
2.80924;-7.21614;-0.305457
-4.05999;0.135259;-1.13422
1.06334;8.90203;-0.357715
-6.13102;-3.59225;1.09938
0.833762;-4.87236;0.200052
4.02257;7.18717;-0.0908703
-6.89364;-4.57824;-0.691413
-3.25114;9.51295;-4.10898
-1.73294;-5.53717;-0.257382
-6.31118;-3.67887;-0.205653
-6.01505;-4.60589;-0.54201
4.44547;5.41377;0.313141
-2.12271;2.98948;0.766635
-4.20521;14.7419;-0.0939821
22.9202;0.603981;-1.41773
14.913;-29.1996;4.8951
-11.193;1.998;-2.45875
2.98471;-6.00408;0.94935
-1.75788;-5.51075;-0.226634
5.6786;-0.0527126;0.0277594
-2.31979;16.0286;-1.04737
4.53957;6.54862;0.446495
-1.05556;8.22305;0.13547
-3.92777;-5.59022;0.0457331
-3.49374;-5.29775;-0.805844
1.64757;-6.1482;-0.463678
-4.12414;6.36767;0.684445
0.859886;-4.98641;0.398423
-1.21896;7.28491;-0.866607
-3.82386;4.84044;0.147307
-5.01983;4.02166;0.204518
-2.82775;-6.16544;-0.723301
7.03923;2.44064;-0.0904699
