x;y;z
1.32377;4.60115;-0.448466
8.43747;9.35632;5.25847
7.64058;9.06359;0.381475
-4.76549;-8.89768;-1.03281
-3.81184;6.99856;-1.92068
7.61462;8.9185;0.447551
1.25434;-7.33862;0.15888
-19.8599;-13.7635;1.18828
5.61161;15.0229;2.75846
-9.30848;0.471696;-0.684441
1.46612;-7.29364;0.19958
-14.3194;2.54525;1.41874
-8.91457;-7.16861;-0.773528
7.30821;8.68134;0.404633
-6.60937;-15.6951;0.368799
-7.77279;-4.88632;-5.75146
7.53927;8.60019;0.370496
7.38054;9.09987;0.326291
-9.2814;-5.62817;2.48084
7.64205;8.84007;0.258895
10.9664;-14.1464;-0.0791003
-12.339;-6.39249;-1.78703
1.25519;-7.61366;0.501641
19.3452;3.02095;0.681625
-18.3579;39.3709;2.66141
7.56333;9.07085;0.988204
-2.44818;-9.42274;-0.892289
5.3012;-8.28823;-0.490755
21.4519;-2.60329;-0.923681
1.00248;-7.57185;0.29922
-12.8279;-4.37;-0.95823
-36.6285;1.48952;-1.66915
-9.56528;-5.86058;2.28358
4.66573;-11.0362;-0.437207
7.66986;9.12586;0.0953228
0.227167;10.8451;6.15967
-2.61958;15.9914;-0.514069
2.08051;-4.42056;0.00442195
45.2738;-40.9642;-2.22541
4.68597;-11.0494;-0.478999
-6.93297;0.020315;-1.75857
1.37953;14.132;-0.475388
-9.79508;-6.6553;2.37296
1.5725;-7.26194;0.330904
6.1869;10.9387;0.00815733
-11.0284;-7.43431;-1.07933
-5.65049;15.3496;-7.18289
-2.83621;-8.78165;-0.357871
-10.8033;-6.26475;-0.354581
-8.98389;-8.01214;-0.947723
7.73752;8.83229;0.478221
-3.54284;4.77455;1.21832
-7.06666;23.6062;-0.200943
37.4202;1.36689;-2.31988
24.5766;-47.32;7.98572
-18.1402;3.54475;-4.13781
4.69591;-9.25603;1.2229
-2.87792;-8.37497;-0.0849091
9.05405;0.499474;0.054899
-3.50384;26.2952;-1.52901
7.38154;10.4115;0.182681
-2.01737;13.1817;0.351535
-5.77205;-8.50389;-0.2711
-4.88229;-8.56033;-0.779551
3.31209;-9.29907;-0.480883
-7.03746;9.90675;1.02786
1.41703;-7.28596;-0.0478253
-2.37434;11.8626;-1.3197
-6.37855;7.43576;0.278165
-8.11803;5.92623;0.316967
-3.76301;-9.27706;-1.0162
10.9879;4.69908;-0.114292
