x;y;z
0.318391;0.731337;-0.0947646
1.99565;1.90351;1.1701
1.63057;2.24232;-0.0663992
-1.52925;-1.86203;-0.313493
-0.542217;1.34084;-0.439286
1.88902;1.87352;-0.222671
0.47322;-1.37836;0.0513912
-3.98492;-2.47067;0.11586
1.01346;3.20217;0.763431
-1.76361;0.464668;-0.165974
-0.100207;-1.26197;-0.0933172
-2.73821;0.830714;0.335446
-2.49049;-0.545392;0.00833926
1.86169;1.70565;-0.0159582
-2.02649;-2.42041;0.0355086
-2.31501;-1.22053;-0.154779
1.72595;1.85377;0.0549327
1.65233;1.27637;0.401758
-2.02896;-0.976655;-0.24855
1.63082;1.30285;0.0772678
2.04531;-2.9615;-0.0185028
-2.19341;-1.0379;-0.0145056
0.471398;-1.02281;0.104125
4.00188;0.566948;0.14973
-2.54793;5.56195;0.446241
1.63129;1.25106;0.0266297
-0.761853;-1.71488;-0.0608599
0.410453;-2.09959;-0.0757481
4.08382;-0.825961;-0.197737
-0.0440371;-1.7887;0.0843595
-2.4553;-0.0699314;-0.102284
-6.55737;0.386492;-0.293141
-1.94547;-0.736388;-0.270444
0.563536;-2.63129;-0.0962983
1.70961;1.23974;0.182692
0.0059102;2.53746;0.690035
0.0603441;3.07577;-0.0332856
0.852043;-0.888853;-0.052634
7.06544;-6.53782;-0.32305
0.541741;-2.59296;-0.0741375
-0.885817;0.209332;-0.370931
0.672072;2.94471;-0.184038
-2.2718;-1.25674;-0.132818
0.513627;-1.86599;0.163852
1.79243;2.44873;-0.0496576
-2.09829;-0.823099;-0.116473
-0.533482;2.94777;-0.603873
-0.779084;-1.75361;-0.0514287
-1.76277;-1.20331;-0.055177
-2.51292;-0.838907;-0.0106174
2.08446;1.04475;-0.0184809
-0.535931;1.01951;0.186775
-0.963101;4.83114;-0.00902552
6.76311;-0.244292;-0.411913
4.15988;-9.03387;1.45509
-3.36819;0.240775;-0.551396
0.785672;-2.25033;0.346401
-0.78753;-1.70604;-0.00147124
1.83712;-0.609436;0.000606897
-1.02319;4.52773;-0.47177
1.68074;1.46075;0.15275
0.0582306;2.59254;-0.185672
-1.54964;-2.11613;-0.00260349
-1.43519;-1.78347;-0.138845
-0.179466;-2.30209;-0.211928
-0.784631;2.26547;0.226577
0.509761;-1.89964;0.146782
0.104252;2.21967;-0.236934
-0.961701;1.90477;0.00814402
-1.37119;1.90439;0.0613523
-1.76143;-1.98265;-0.160113
2.48938;0.00394949;-0.0431959
