x;y;z
0.914837;3.01779;-0.31447
5.85825;6.34668;3.69393
5.3404;6.31469;0.24502
-3.34024;-5.98264;-0.650994
-2.48536;4.70719;-1.37047
5.17934;6.35673;0.107131
1.28561;-4.76952;0.000377463
-13.4359;-9.19187;0.755739
3.75364;10.2876;1.98287
-6.28192;0.510188;-0.473717
0.598008;-5.01754;0.108704
-9.65724;1.87521;0.997249
-6.46462;-4.52953;-0.496758
5.41988;6.23596;0.168799
-4.77551;-10.3809;0.242718
-5.60799;-3.36117;-3.20825
5.55533;6.14904;0.0634399
5.32899;5.51871;0.207597
-6.54279;-4.10008;1.31509
5.20196;5.55563;0.499864
7.37928;-9.63169;-0.0548124
-8.28024;-4.11691;-1.18373
0.916093;-4.49899;-0.0400821
13.1417;2.02574;0.468032
-11.9345;25.6326;1.76181
5.30878;5.28379;0.134863
-1.85545;-6.14982;-0.392718
3.25365;-5.69942;-0.217976
14.4173;-1.89211;-0.631777
1.22008;-5.2524;0.33758
-8.71957;-2.5365;-0.619641
-24.4137;1.04219;-1.11016
-6.58034;-3.97642;1.30701
3.06878;-7.75449;-0.314809
5.24971;5.44934;0.349918
0.124265;7.49038;3.99134
-1.55656;10.8257;-0.3215
1.65953;-2.85878;-0.0305352
29.7395;-26.9671;-1.45215
3.08393;-7.75002;-0.359756
-4.46449;0.120513;-1.22418
1.1086;9.64319;-0.375288
-6.61259;-3.95051;1.35023
0.858864;-5.13214;0.19441
4.31706;7.73397;-0.0829565
-7.48912;-4.99138;-0.751021
-3.59059;10.3377;-4.54449
-1.89031;-5.96378;-0.282568
-6.95328;-4.0326;-0.224665
-6.43091;-5.11055;-0.605847
4.76019;5.92041;0.361738
-2.32301;3.24078;0.83228
-4.61003;15.9933;-0.108763
24.9658;0.711577;-1.54502
16.2759;-31.7553;5.33102
-12.1751;2.21697;-2.69648
3.23338;-6.46556;0.996999
-1.878;-5.85508;-0.10029
6.15682;0.023566;0.0315028
-2.48646;17.4785;-1.11569
4.93755;7.12942;0.415489
-1.19235;8.92522;0.168681
-4.20134;-6.0052;0.012774
-3.71685;-5.73108;-0.813958
1.88389;-6.60026;-0.471704
-4.53791;6.87091;0.734529
0.86837;-5.31934;0.433403
-1.38335;7.93031;-0.933892
-4.18483;5.20808;0.165896
-5.46158;4.28986;0.220786
-2.9573;-6.62659;-0.773253
7.60062;2.75674;-0.0944417
