x;y;z
0.363337;0.898469;-0.113544
2.29288;2.23977;1.38069
1.89485;2.58239;-0.0623416
-1.69768;-2.09248;-0.350289
-0.687957;1.59242;-0.522676
2.25261;2.27162;-0.242473
0.560083;-1.63024;0.0731713
-4.69517;-2.97506;0.164268
1.22062;3.74491;0.863873
-2.10697;0.480144;-0.189773
-0.0830326;-1.51436;-0.0929394
-3.26402;0.917103;0.39033
-2.84782;-0.795407;-0.0203591
2.18261;2.0675;-0.0280018
-2.24309;-3.03839;0.0548376
-2.64286;-1.43025;-0.105161
1.94178;2.19026;0.0275949
1.95813;1.46008;0.445933
-2.41988;-1.22403;-0.193291
1.90689;1.51779;-0.0205018
2.45194;-3.46543;-0.0213994
-2.47514;-1.26742;-0.0661169
0.504985;-1.22638;0.0946885
4.69;0.675905;0.174089
-3.24637;7.05435;0.544332
1.87681;1.52774;0.0981001
-0.836284;-2.08013;-0.0131767
0.507312;-2.37214;-0.0597915
4.85815;-0.908419;-0.230847
0.0464688;-2.00841;0.0948015
-2.94595;-0.226026;-0.14334
-7.88604;0.435557;-0.35392
-2.34277;-1.04666;-0.302923
0.764246;-3.05346;-0.108785
1.89719;1.58817;0.259291
0.0116317;2.91188;0.950982
-0.0662318;3.6764;-0.0537263
0.937626;-1.01022;-0.0564889
8.74845;-8.05409;-0.406912
0.74977;-3.00496;-0.116046
-1.14942;0.208023;-0.441746
0.711625;3.45841;-0.203943
-2.5954;-1.45662;-0.186644
0.619411;-2.16636;0.181226
1.98119;2.90332;-0.0603048
-2.5112;-1.04856;-0.139508
-0.767427;3.50631;-0.907676
-0.787475;-1.98281;-0.053708
-2.05381;-1.41899;-0.0618603
-2.92833;-1.14227;-0.0255304
2.3597;1.41058;-0.0118764
-0.670242;1.18267;0.244086
-1.24064;5.66729;-0.00819546
8.11705;-0.173507;-0.496274
5.05917;-10.7207;1.7429
-4.03465;0.392454;-0.715776
1.00256;-2.58202;0.425543
-0.929246;-2.08514;-0.0853932
2.16821;-0.568563;0.00259317
-1.12955;5.49661;-0.528846
1.8926;1.92774;0.245
-0.0395249;3.07702;-0.154604
-1.76557;-2.44049;0.0503582
-1.57007;-2.12722;-0.228756
-0.0371487;-2.65826;-0.254263
-1.0723;2.6272;0.275012
0.635916;-2.1732;0.147484
-0.00786566;2.63603;-0.302308
-1.20265;2.15301;0.0171236
-1.70119;2.0834;0.0755907
-1.87517;-2.39603;-0.232888
2.88487;0.201164;-0.0489731
