x;y;z
1.03524;3.48381;-0.354645
6.62133;7.23506;4.16253
6.06702;6.80811;0.285518
-3.74652;-6.86973;-0.772794
-2.87647;5.38346;-1.53605
5.72896;7.09737;0.135423
1.40553;-5.43378;-0.0152171
-15.3316;-10.5408;0.883479
4.302;11.6888;2.2138
-7.17755;0.501326;-0.5356
1.01156;-5.75878;0.252287
-11.0347;2.07425;1.12261
-7.18041;-5.29331;-0.579777
6.07372;7.09443;0.303228
-5.31748;-11.9523;0.280328
-6.2472;-3.80976;-3.964
6.21143;7.07466;0.312192
6.19295;6.43026;0.209472
-7.53111;-4.62212;1.68916
6.03849;6.46183;0.40407
8.43936;-10.9648;-0.0619721
-9.48859;-4.78735;-1.36893
1.03481;-5.40391;-0.0244935
14.9726;2.31928;0.531168
-13.8283;29.6829;2.02705
5.95295;6.55252;0.120979
-2.00411;-7.16119;-0.570845
3.86924;-6.45907;-0.302304
16.4928;-2.10247;-0.718038
1.18437;-6.09005;0.373503
-9.93833;-3.07162;-0.720028
-28.0152;1.17412;-1.27498
-7.42235;-4.57758;1.65572
3.56128;-8.75477;-0.374114
5.82172;6.48236;0.40815
0.153663;8.48074;4.63413
-1.87177;12.3538;-0.378709
1.78773;-3.30884;-0.0206977
34.3189;-31.0933;-1.68012
3.54609;-8.71004;-0.375938
-5.19138;0.0925822;-1.38384
1.18918;10.9703;-0.405855
-7.41401;-4.62684;1.58645
0.849358;-5.6983;0.19343
4.85475;8.69905;-0.0627247
-8.54465;-5.72276;-0.853045
-4.19898;11.8169;-5.32443
-2.17622;-6.80627;-0.325228
-8.09628;-4.68103;-0.26094
-7.18192;-5.99129;-0.713636
5.40671;6.82406;0.431741
-2.68259;3.6924;0.948215
-5.33557;18.2388;-0.135632
28.6379;0.904756;-1.7735
18.7229;-36.3438;6.11363
-13.936;2.60929;-3.12237
3.67263;-7.29112;1.0739
-2.17032;-6.54447;-0.0368902
7.01328;0.162078;0.0383039
-2.78605;20.0797;-1.23794
5.65757;8.13905;0.349902
-1.43681;10.1831;0.225681
-4.68118;-6.7455;-0.0572606
-4.09158;-6.52821;-0.811413
2.30692;-7.40382;-0.480416
-5.27797;7.77035;0.822786
0.919504;-5.8355;0.384166
-1.67714;9.0893;-1.05138
-4.83229;5.86659;0.199169
-6.24992;4.77173;0.249581
-3.19158;-7.43242;-0.855031
8.60419;3.32658;-0.100987
