x;y;z
1.07947;3.65505;-0.369229
6.90078;7.56088;4.33278
6.34654;7.00203;0.278756
-3.89915;-7.19092;-0.817321
-3.02001;5.63151;-1.59601
5.96164;7.34343;0.167017
1.42354;-5.68609;-0.0135517
-16.0269;-11.0357;0.930313
4.50313;12.2019;2.29801
-7.5055;0.497462;-0.558364
1.14351;-5.97769;0.333703
-11.5396;2.14693;1.16835
-7.44498;-5.57692;-0.60971
6.25853;7.4041;0.406551
-5.51608;-12.5279;0.294023
-6.4816;-3.97469;-4.2399
6.43025;7.34231;0.356841
6.44312;6.7929;0.233718
-7.81171;-4.91501;1.79272
6.3526;6.86095;0.373905
8.82785;-11.4536;-0.0645998
-9.92924;-5.03362;-1.43515
1.0864;-5.76102;-0.00286934
15.6442;2.427;0.554303
-14.5234;31.1696;2.12441
6.21816;7.04238;0.179792
-2.06571;-7.5177;-0.62649
4.09232;-6.73871;-0.332334
17.2542;-2.17951;-0.749651
1.14673;-6.37027;0.378183
-10.3839;-3.26933;-0.756734
-29.3371;1.22253;-1.33547
-7.72832;-4.78889;1.7785
3.72865;-9.10957;-0.372588
6.05867;6.8464;0.340535
0.16468;8.84393;4.86921
-1.98703;12.9134;-0.399605
1.83378;-3.47648;-0.0169799
35.9999;-32.6079;-1.76379
3.72637;-9.07001;-0.404166
-5.4584;0.0819362;-1.44194
1.21858;11.4566;-0.416814
-7.79197;-4.78417;1.7055
0.881444;-5.98932;0.211998
5.05501;9.04855;-0.0536486
-8.92888;-5.98852;-0.889222
-4.42203;12.3594;-5.61019
-2.27789;-7.11476;-0.334828
-8.51361;-4.92167;-0.274662
-7.45827;-6.30829;-0.751474
5.67383;7.15418;0.448623
-2.81459;3.8583;0.990253
-5.60156;19.0628;-0.145574
29.9856;0.975668;-1.85735
19.6211;-38.028;6.40091
-14.5818;2.75308;-3.27846
3.83191;-7.5934;1.0997
-2.27848;-6.8118;-0.0310116
7.32708;0.213351;0.0408229
-2.8961;21.034;-1.28271
5.92244;8.50015;0.324185
-1.52624;10.6441;0.245869
-4.85378;-7.01612;-0.0861474
-4.22162;-6.8279;-0.806818
2.46177;-7.69672;-0.482114
-5.54886;8.09941;0.854741
0.964231;-5.99073;0.301452
-1.78459;9.5148;-1.09361
-5.06977;6.10788;0.211346
-6.53802;4.94873;0.260041
-3.2783;-7.72208;-0.882732
8.97138;3.5364;-0.103225
