x;y;z
0.235377;0.435004;-0.0588458
1.4496;1.29118;0.766955
1.19134;1.60575;-0.0616013
-1.21209;-1.43128;-0.143169
-0.277211;0.886922;-0.272057
1.20239;1.1146;-0.0840736
0.300718;-0.928308;0.0165119
-2.69858;-1.55863;0.0280082
0.636078;2.21028;0.56977
-1.14268;0.42097;-0.120848
-0.126348;-0.831396;-0.0830602
-1.78031;0.66167;0.22918
-1.80338;-0.156873;0.0394149
1.22798;1.09364;0.0227385
-1.59897;-1.26508;-0.0118595
-1.63385;-0.799778;-0.108232
1.34877;1.14954;0.0459536
1.13119;0.954807;0.173285
-1.36195;-0.489752;-0.235139
1.37368;0.867629;0.135497
1.30327;-2.04644;-0.0129447
-1.66638;-0.638327;-0.0202282
0.408028;-0.692148;0.105017
2.75501;0.3707;0.105132
-1.29044;2.87918;0.268801
1.29966;0.792029;0.0846926
-0.508878;-1.13286;0.0880601
0.238228;-1.57792;-0.0536541
2.68521;-0.673512;-0.137215
-0.195644;-1.38759;0.0529108
-1.55849;0.175926;-0.027044
-4.16887;0.297735;-0.183891
-1.29447;-0.277628;-0.155006
0.165785;-1.8015;-0.0148762
1.13637;0.771586;-0.00757556
-0.000874203;1.85521;0.197549
0.291283;1.963;-0.00201841
0.665481;-0.686267;-0.0356594
4.04562;-3.81728;-0.172509
0.182559;-1.82491;-0.0372331
-0.413993;0.208592;-0.235655
0.584879;2.00094;-0.139386
-1.65545;-0.786228;-0.121224
0.266365;-1.39336;0.123282
1.40568;1.56509;-0.0301495
-1.3401;-0.49929;-0.140025
-0.0986943;1.92635;-0.0428937
-0.734387;-1.16826;-0.0848935
-1.28252;-0.79865;-0.0623629
-1.69459;-0.292182;-0.000932195
1.53566;0.425937;-0.0148791
-0.291176;0.728428;0.0714236
-0.464599;3.31656;-0.017015
4.32997;-0.370834;-0.260187
2.5465;-6.00705;0.938581
-2.15096;-0.0397037;-0.248457
0.352639;-1.62303;0.164912
-0.690943;-1.11272;-0.0564132
1.22884;-0.67621;-0.00275732
-0.827205;2.78401;-0.359967
1.19797;0.598002;0.0454692
0.237875;1.70381;-0.228559
-1.17876;-1.44781;-0.144075
-1.22952;-1.19543;-0.0172798
-0.424301;-1.62596;-0.119171
-0.262994;1.59641;0.123505
0.289384;-1.36783;0.101103
0.300823;1.49323;-0.11029
-0.525921;1.46279;-0.000630271
-0.739959;1.57374;0.0322534
-1.49312;-1.21741;-0.0227373
1.76297;-0.342838;-0.0313275
