x;y;z
1.23974;4.2757;-0.421437
7.9101;8.73949;4.94261
7.27094;8.3598;0.164552
-4.46393;-8.32526;-0.967475
-3.53967;6.52891;-1.8101
7.0588;8.17276;0.447338
1.3498;-6.69914;0.0638275
-18.543;-12.8262;1.09968
5.23077;14.0548;2.60087
-8.68982;0.481297;-0.641011
1.35355;-6.81881;0.412804
-13.3649;2.40878;1.333
-8.40793;-6.61664;-0.717262
7.05391;8.2128;0.397797
-6.23396;-14.6079;0.343225
-7.32929;-4.5727;-5.23362
6.96851;8.26996;0.442946
6.99246;8.28695;0.440241
-8.96693;-5.63795;2.19704
7.27635;8.06926;0.17227
10.2321;-13.2214;-0.0741148
-11.5143;-5.92543;-1.66839
1.20956;-7.0496;0.292985
18.0737;2.81683;0.637911
-17.0399;36.5519;2.47683
7.17384;8.50881;0.738108
-2.30989;-8.77686;-0.806827
4.88939;-7.75439;-0.437554
20.0095;-2.45783;-0.863924
1.00515;-7.22101;0.343605
-11.9902;-3.98994;-0.889134
-34.1224;1.39776;-1.55446
-8.89991;-5.62926;2.10844
4.35762;-10.3968;-0.429675
7.18464;8.34925;0.189741
0.205398;10.1577;5.71717
-2.40271;14.935;-0.474866
1.99692;-4.09272;-0.0030902
42.086;-38.0918;-2.06674
4.34575;-10.3526;-0.439957
-6.42584;0.04198;-1.6504
1.32441;13.2135;-0.455567
-8.95172;-5.61913;2.19958
1.41123;-6.81822;0.287658
5.79277;10.2956;-0.0149812
-10.3098;-6.94084;-1.01562
-5.22856;14.3222;-6.64294
-2.64331;-8.2166;-0.354854
-10.0181;-5.80062;-0.32622
-8.45958;-7.4341;-0.88239
6.88025;8.33293;0.427123
-3.29249;4.45943;1.14057
-6.56344;22.0448;-0.18183
34.8648;1.23241;-2.16091
22.8732;-44.126;7.44096
-16.9178;3.27289;-3.84272
4.40142;-8.68532;1.18387
-2.6716;-7.82216;-0.0526554
8.46114;0.40057;0.0500293
-3.29484;24.4873;-1.44446
6.88059;9.76922;0.230261
-1.84893;12.3104;0.316194
-5.46288;-7.99295;-0.203157
-4.66442;-7.94902;-0.785769
3.0205;-8.75041;-0.483057
-6.52676;9.28686;0.968878
1.18506;-6.80394;-0.0360501
-2.17215;11.0555;-1.24314
-5.92891;6.97988;0.255263
-7.5765;5.59004;0.297529
-3.59551;-8.74944;-0.973845
10.2963;4.29855;-0.110708
