x;y;z
0.980356;3.27135;-0.336424
6.27395;6.83039;3.94992
5.71288;6.56997;0.287346
-3.55953;-6.46738;-0.717057
-2.69826;5.07539;-1.46104
5.46177;6.77317;0.111877
1.36246;-5.12782;-0.0113497
-14.468;-9.92627;0.825299
4.0522;11.051;2.10886
-6.76984;0.505689;-0.507377
0.791646;-5.46126;0.165092
-10.4074;1.98375;1.06563
-6.85319;-4.94361;-0.542302
5.88119;6.71108;0.241403
-5.07069;-11.2368;0.263248
-5.95605;-3.60519;-3.62042
5.86012;6.67703;0.183015
5.83246;6.01216;0.200468
-7.0424;-4.28595;1.48409
5.61482;6.00127;0.406857
7.95663;-10.3576;-0.0587098
-8.93951;-4.48173;-1.28546
0.97704;-4.9799;-0.0370494
14.1386;2.18554;0.50242
-12.9653;27.8373;1.90619
5.64616;5.9549;0.0984973
-1.93236;-6.71007;-0.496083
3.59025;-6.11251;-0.26436
15.5472;-2.0067;-0.678757
1.21474;-5.71826;0.360469
-9.38393;-2.8271;-0.674359
-26.3741;1.11401;-1.19988
-7.0192;-4.38451;1.52104
3.34203;-8.30994;-0.350001
5.58816;6.04285;0.461729
0.140148;8.02962;4.34167
-1.72836;11.6581;-0.352693
1.72985;-3.10248;-0.025236
32.2321;-29.213;-1.57624
3.33178;-8.2641;-0.36618
-4.86005;0.105519;-1.31135
1.15255;10.3661;-0.392065
-7.1074;-4.33553;1.49282
0.869882;-5.39116;0.200497
4.6083;8.26174;-0.0728195
-8.06545;-5.39092;-0.807238
-3.9219;11.1431;-4.9693
-2.04824;-6.42185;-0.309689
-7.5767;-4.38402;-0.244192
-6.83924;-5.59336;-0.66545
5.09845;6.41301;0.403274
-2.51874;3.48653;0.89566
-5.00513;17.2157;-0.123344
26.9646;0.816726;-1.66939
17.6079;-34.2529;5.75701
-13.1339;2.43063;-2.92843
3.4735;-6.91533;1.04013
-2.03653;-6.22174;-0.0546764
6.62331;0.0987331;0.0351929
-2.64948;18.8946;-1.18229
5.329;7.68388;0.380883
-1.32558;9.6103;0.200092
-4.46429;-6.40879;-0.0237122
-3.92471;-6.16164;-0.81477
2.11437;-7.03876;-0.47725
-4.94114;7.36106;0.782804
0.889927;-5.61312;0.428285
-1.54346;8.56113;-0.998322
-4.53734;5.56674;0.184024
-5.89136;4.55209;0.236518
-3.08449;-7.06846;-0.81896
8.14751;3.06657;-0.09809
