x;y;z
0.986452;3.29495;-0.338455
6.31258;6.87537;3.97361
5.75117;6.59489;0.287962
-3.58016;-6.51226;-0.72325
-2.71806;5.10962;-1.4694
5.49025;6.81021;0.113703
1.36827;-5.16153;-0.0120538
-14.564;-9.99457;0.831765
4.07996;11.1219;2.12055
-6.81518;0.505229;-0.510511
0.81569;-5.50076;0.172991
-10.4772;1.99382;1.07197
-6.88947;-4.98233;-0.546489
5.9192;6.74698;0.239524
-5.09812;-11.3164;0.265151
-5.98841;-3.62791;-3.65866
5.88594;6.73155;0.2056
5.87539;6.05763;0.200845
-7.10156;-4.30843;1.50939
5.66609;6.04902;0.405669
8.01029;-10.4251;-0.0590723
-9.00064;-4.51568;-1.29481
0.983137;-5.02598;-0.0362176
14.2313;2.2004;0.505616
-13.0612;28.0424;1.91962
5.67899;6.02038;0.0984668
-1.94004;-6.76079;-0.504784
3.62137;-6.15098;-0.268614
15.6523;-2.01735;-0.683124
1.21248;-5.76059;0.362229
-9.4456;-2.85422;-0.679439
-26.5565;1.12069;-1.20822
-7.06105;-4.41765;1.52414
3.37015;-8.3568;-0.365183
5.60865;6.09338;0.459899
0.14164;8.07976;4.37421
-1.74432;11.7355;-0.355588
1.73632;-3.12531;-0.0247361
32.464;-29.422;-1.58778
3.35195;-8.31641;-0.354804
-4.89686;0.104098;-1.31943
1.15663;10.4333;-0.393608
-7.13961;-4.37104;1.51285
0.866767;-5.41789;0.199845
4.63556;8.31053;-0.0717665
-8.11883;-5.4279;-0.81238
-3.9527;11.218;-5.00878
-2.0626;-6.4646;-0.311661
-7.63453;-4.41691;-0.246037
-6.87729;-5.63784;-0.670876
5.13153;6.45875;0.406763
-2.53695;3.5094;0.901521
-5.04186;17.3294;-0.124706
27.1505;0.826507;-1.68096
17.7318;-34.4852;5.79663
-13.223;2.45049;-2.94999
3.49571;-6.95712;1.04398
-2.05136;-6.25702;-0.0519948
6.66666;0.105754;0.0355377
-2.66465;19.0263;-1.18848
5.36549;7.73485;0.377513
-1.33795;9.67397;0.202965
-4.48853;-6.44625;-0.0273086
-3.94356;-6.20208;-0.814556
2.13578;-7.07941;-0.477664
-4.9786;7.40659;0.787265
0.89265;-5.63901;0.425657
-1.55833;8.61981;-1.00426
-4.57012;5.60008;0.185709
-5.93126;4.57649;0.237974
-3.09636;-7.10915;-0.823063
8.1983;3.09543;-0.0984187
