x;y;z
0.783909;2.51141;-0.269818
5.02381;5.37783;3.17412
4.57274;5.39623;0.0196411
-2.91747;-5.00548;-0.526148
-2.05945;3.96996;-1.18552
4.80007;5.50608;0.107708
1.07044;-4.08226;0.0515776
-11.3695;-7.72156;0.616352
3.15572;8.75525;1.72828
-5.3025;0.516306;-0.406545
0.335315;-4.15299;0.036433
-8.1533;1.65636;0.859189
-5.69753;-3.71242;-0.398932
4.46513;5.43756;0.0416849
-4.18345;-8.66329;0.201122
-4.91093;-2.8747;-2.37629
4.71726;5.2152;0.000291934
4.42061;4.30127;0.225977
-5.6061;-3.41467;0.961482
4.54099;4.59431;0.45703
6.22156;-8.17741;-0.0470092
-6.94762;-3.38878;-0.972181
0.811814;-3.60452;-0.0261157
11.1453;1.70594;0.399057
-9.87241;21.2225;1.47298
4.59119;4.16694;0.315116
-1.50057;-5.13268;-0.11266
2.56704;-4.87605;-0.121143
12.1553;-1.6621;-0.537575
1.12597;-4.29811;0.26141
-7.38241;-1.961;-0.509518
-20.4918;0.898477;-0.930693
-5.67878;-3.32342;0.973318
2.55911;-6.68797;-0.305302
4.31893;4.54551;0.211642
0.0935209;6.41022;3.28661
-1.21089;9.1547;-0.258678
1.51398;-2.38205;-0.040633
24.754;-22.475;-1.20396
2.53896;-6.65612;-0.281532
-3.67415;0.148672;-1.04754
1.0198;8.19296;-0.340484
-5.57747;-3.33607;0.951105
0.830521;-4.63227;0.258591
3.74473;6.6581;-0.0958647
-6.31791;-4.17866;-0.631869
-2.92661;8.7249;-3.69234
-1.71267;-5.02887;-0.249732
-5.69399;-3.35116;-0.189809
-5.62149;-4.11069;-0.477514
4.17405;4.92512;0.261512
-1.93148;2.7498;0.703098
-3.81818;13.5469;-0.0800454
20.9672;0.501273;-1.29621
13.6119;-26.7599;4.47896
-10.2546;1.78859;-2.2314
2.74405;-5.56211;0.900098
-1.64066;-5.03071;-0.249357
5.22113;-0.124826;0.0242217
-2.16087;14.6437;-0.981921
4.164;5.98073;0.469741
-0.924474;7.55153;0.102623
-3.66211;-5.19171;0.0726537
-3.27018;-4.88981;-0.789271
1.42159;-5.7128;-0.453327
-3.72792;5.88544;0.635859
0.851859;-4.62624;0.298851
-1.06146;6.66895;-0.800891
-3.47901;4.48882;0.129536
-4.59596;3.76577;0.188797
-2.70442;-5.71583;-0.672433
6.50139;2.13989;-0.0864187
