x;y;z
0.481196;1.34551;-0.160317
3.06794;3.12301;1.91046
2.6195;3.43055;-0.0387959
-2.04554;-2.79362;-0.348454
-1.07216;2.25816;-0.725086
3.1348;3.26821;-0.208146
0.758252;-2.3167;0.128656
-6.56826;-4.30637;0.291572
1.76495;5.16446;1.11703
-3.00971;0.504802;-0.25113
-0.0196053;-2.21749;-0.0759774
-4.6436;1.1335;0.527999
-3.72025;-1.56673;-0.126749
2.93587;3.05088;-0.0543174
-2.79675;-4.63851;0.0995512
-3.30838;-1.77817;-0.351916
2.57637;3.03103;-0.0345528
2.73173;2.03752;0.410771
-3.4297;-1.85458;-0.05914
2.66872;2.32692;-0.00879274
3.51715;-4.79121;-0.0287548
-3.70049;-1.74376;-0.372018
0.592719;-1.81607;0.058961
6.50327;0.9642;0.237767
-5.09731;11.0112;0.803928
2.56706;2.18176;0.265828
-1.10233;-2.94568;-0.0721569
0.80473;-2.99738;0.0834922
6.90353;-1.12271;-0.317534
0.313911;-2.58326;0.106019
-4.21863;-0.678877;-0.248812
-11.4079;0.565184;-0.515043
-3.36535;-1.95212;-0.00321313
1.28833;-4.09288;-0.192105
2.42729;2.46072;0.318663
0.0305334;3.89619;1.62156
-0.394124;5.23512;-0.11079
1.12889;-1.35882;-0.0577275
13.2153;-12.0785;-0.629415
1.27127;-4.0843;-0.154379
-1.85123;0.198633;-0.620206
0.80491;4.79961;-0.248692
-3.38184;-1.81839;-0.0417584
0.882587;-2.93418;0.132036
2.46627;4.02309;-0.0826473
-3.43676;-2.04962;-0.225863
-1.37765;4.97387;-1.6979
-1.06529;-2.82599;-0.0701726
-2.92379;-1.96377;-0.107126
-3.86838;-1.93051;-0.102825
2.99357;2.42173;0.0314765
-1.02385;1.61785;0.383487
-1.96983;7.87334;-0.0200831
11.7066;0.0146588;-0.71982
7.44606;-15.1973;2.50662
-5.78512;0.787758;-1.14475
1.53216;-3.43499;0.595826
-0.999047;-2.93315;-0.124445
3.03273;-0.452496;0.00821121
-1.41304;8.06068;-0.664483
2.48384;3.11254;0.409323
-0.292657;4.34257;-0.0740244
-2.32829;-3.2457;0.114157
-2.04814;-2.97424;-0.499849
0.356196;-3.55986;-0.342198
-1.82589;3.56075;0.387915
0.867591;-2.97478;0.129355
-0.30534;3.75499;-0.458963
-1.84006;2.8101;0.0462169
-2.53975;2.55411;0.109993
-2.11985;-3.41659;-0.383674
3.91465;0.733023;-0.0620736
