x;y;z
0.438479;1.18253;-0.143739
2.78796;2.80303;1.72178
2.35356;3.13312;-0.0493353
-1.93186;-2.51585;-0.350446
-0.932748;2.01637;-0.653972
2.82757;2.91524;-0.23148
0.691549;-2.06324;0.109449
-5.88876;-3.82329;0.245444
1.56771;4.65117;1.02671
-2.68279;0.497955;-0.229016
-0.0463583;-1.95694;-0.0845578
-4.14412;1.05639;0.478963
-3.41753;-1.26534;-0.0825674
2.67449;2.69024;-0.0446609
-2.59762;-4.0615;0.0839784
-3.08663;-1.68134;-0.11008
2.3364;2.72821;-0.0173987
2.45847;1.81345;0.441076
-3.01674;-1.71623;-0.146421
2.39288;2.03026;-0.037734
3.13171;-4.31071;-0.0261189
-3.19125;-1.53171;-0.229586
0.56102;-1.5943;0.0728501
5.84568;0.859498;0.214743
-4.42464;9.57304;0.709619
2.30741;1.92437;0.204812
-0.981345;-2.54184;-0.0269404
0.680887;-2.79328;0.00776511
6.16113;-1.04538;-0.286171
0.211882;-2.37553;0.104268
-3.76036;-0.509329;-0.210953
-10.128;0.518123;-0.456485
-3.10047;-1.64737;-0.220952
1.09067;-3.69441;-0.161882
2.2228;2.15483;0.311553
0.0231426;3.53949;1.3805
-0.276045;4.67285;-0.089848
1.06396;-1.22803;-0.0583102
11.5912;-10.6153;-0.548526
1.09447;-3.72456;-0.143348
-1.59573;0.202937;-0.556602
0.772281;4.31483;-0.233427
-3.09005;-1.669;-0.181242
0.807865;-2.65641;0.144603
2.29024;3.62669;-0.0756635
-3.08623;-1.60805;-0.15846
-1.15701;4.44204;-1.41258
-0.988426;-2.56853;-0.0389785
-2.58924;-1.76958;-0.0868687
-3.55522;-1.6497;-0.0682882
2.77925;2.04971;0.0118872
-0.895597;1.45933;0.334438
-1.7061;7.07254;-0.0140176
10.402;-0.0537861;-0.638587
6.57822;-13.5697;2.22896
-5.15091;0.644912;-0.989689
1.3457;-3.12815;0.539108
-0.971007;-2.66901;-0.157475
2.72022;-0.495733;0.00611588
-1.30938;7.12979;-0.617096
2.26444;2.68699;0.362642
-0.201479;3.88496;-0.102538
-2.12725;-2.95861;0.100647
-1.85997;-2.68495;-0.40879
0.210912;-3.23819;-0.313944
-1.55342;3.22483;0.348776
0.790533;-2.66805;0.16729
-0.19742;3.34678;-0.404391
-1.60857;2.57168;0.0351174
-2.2395;2.38333;0.097908
-2.03539;-3.05812;-0.334201
3.54295;0.538476;-0.057639
