x;y;z
0.975784;3.25366;-0.334899
6.24498;6.79666;3.93213
5.68448;6.55154;0.286625
-3.54408;-6.43369;-0.712415
-2.6834;5.04971;-1.45475
5.44062;6.74522;0.11064
1.35793;-5.10259;-0.0107783
-14.396;-9.87505;0.820448
4.03138;10.9978;2.1001
-6.73583;0.506029;-0.505027
0.774564;-5.43089;0.159657
-10.3551;1.97619;1.06087
-6.82599;-4.91459;-0.539157
5.85122;6.68245;0.240311
-5.05011;-11.1771;0.261821
-5.93177;-3.58815;-3.59173
5.84151;6.63733;0.168798
5.79977;5.97812;0.200251
-6.99943;-4.27161;1.46572
5.57553;5.96703;0.409382
7.91638;-10.307;-0.058438
-8.89364;-4.45627;-1.27844
0.972519;-4.9455;-0.0375986
14.069;2.17439;0.500023
-12.8934;27.6835;1.89612
5.62175;5.90602;0.0989325
-1.92666;-6.67192;-0.48948
3.56689;-6.08365;-0.261163
15.4684;-1.99871;-0.675481
1.21624;-5.68638;0.359107
-9.33765;-2.80677;-0.670548
-26.2374;1.109;-1.19362
-6.98923;-4.35788;1.51795
3.31957;-8.26926;-0.340224
5.57382;6.0036;0.460957
0.13903;7.99202;4.31727
-1.7164;11.6001;-0.350521
1.72499;-3.08538;-0.0256102
32.0582;-29.0563;-1.56758
3.318;-8.23036;-0.373096
-4.83244;0.106582;-1.30529
1.1495;10.3157;-0.390906
-7.08041;-4.30815;1.4779
0.871487;-5.37197;0.200681
4.58787;8.22512;-0.0735975
-8.02539;-5.36316;-0.803372
-3.8988;11.0869;-4.93969
-2.03744;-6.38979;-0.308162
-7.53332;-4.35937;-0.242811
-6.81071;-5.55996;-0.661368
5.07383;6.3787;0.40061
-2.50508;3.46938;0.891261
-4.97758;17.1305;-0.122323
26.8252;0.80939;-1.66071
17.5149;-34.0786;5.72729
-13.067;2.41573;-2.91226
3.45683;-6.88399;1.03722
-2.02541;-6.1954;-0.0568235
6.59079;0.0934707;0.0349346
-2.6381;18.7959;-1.17765
5.30165;7.64559;0.383397
-1.3163;9.56253;0.197931
-4.44608;-6.38068;-0.021037
-3.91052;-6.13135;-0.814902
2.0983;-7.00826;-0.476929
-4.91304;7.32691;0.779455
0.887958;-5.59354;0.429979
-1.53231;8.51712;-0.993866
-4.51276;5.54174;0.182761
-5.86143;4.53379;0.235425
-3.07559;-7.03789;-0.815866
8.1094;3.04493;-0.0978424
