x;y;z
0.520791;1.49717;-0.175362
3.32647;3.41927;2.08248
2.8688;3.69373;-0.0268023
-2.15024;-3.06705;-0.354943
-1.20143;2.48242;-0.789189
3.406;3.58683;-0.178285
0.814539;-2.55706;0.144918
-7.198;-4.75416;0.334275
1.9476;5.63874;1.19958
-3.31211;0.509533;-0.271548
0.0098238;-2.46344;-0.0658843
-5.1057;1.20395;0.572763
-3.98647;-1.87086;-0.174232
3.16907;3.3883;-0.0632488
-2.98027;-5.17084;0.113568
-3.51177;-1.91449;-0.636559
2.80829;3.31374;-0.0449119
2.9744;2.2627;0.368599
-3.73415;-2.06405;0.153078
2.92673;2.60604;0.0344274
3.87356;-5.23616;-0.0311772
-4.152;-1.95038;-0.476586
0.621889;-2.02881;0.0458592
7.11251;1.06132;0.259046
-5.72167;12.3463;0.891441
2.81771;2.43106;0.32168
-1.14668;-3.23866;-0.105908
1.08097;-3.22056;0.0982333
7.59184;-1.19407;-0.346534
0.413812;-2.77501;0.105848
-4.64029;-0.839897;-0.283594
-12.5959;0.608829;-0.569395
-3.5806;-2.14105;0.105774
1.45985;-4.45959;-0.191894
2.6296;2.7374;0.316945
0.037824;4.22648;1.8433
-0.502831;5.75385;-0.13027
1.18571;-1.48386;-0.0565156
14.7232;-13.4371;-0.704511
1.44256;-4.41223;-0.19059
-2.08875;0.193862;-0.678231
0.834367;5.24752;-0.262121
-3.73147;-1.99222;0.10889
0.884366;-3.17131;0.143672
2.6303;4.38337;-0.087957
-3.82197;-2.37005;-0.302042
-1.58165;5.46641;-1.96135
-1.11392;-3.181;-0.133101
-3.25338;-2.14115;-0.127262
-4.13238;-2.18074;-0.140956
3.1757;2.76805;0.0527215
-1.14274;1.76526;0.427778
-2.21351;8.61612;-0.0267053
12.9176;0.0782258;-0.795209
8.25183;-16.7084;2.7644
-6.37233;0.91975;-1.28805
1.70043;-3.71752;0.644429
-1.11847;-3.14077;-0.0695009
3.3215;-0.411507;0.0102026
-1.50985;8.92369;-0.707372
2.69156;3.50301;0.44159
-0.376635;4.76558;-0.0484678
-2.51134;-3.5082;0.120328
-2.22324;-3.23142;-0.568884
0.492908;-3.85331;-0.365036
-2.07752;3.86995;0.422879
0.834023;-3.23665;0.124124
-0.405203;4.13478;-0.507703
-2.05478;3.03094;0.056805
-2.8151;2.7125;0.1209
-2.19676;-3.7387;-0.426746
4.25755;0.914629;-0.0659065
