x;y;z
0.811301;2.6173;-0.279258
5.19884;5.58079;3.28389
4.74343;5.64963;0.045234
-3.00402;-5.2104;-0.551063
-2.14861;4.12437;-1.22472
4.89566;5.67873;0.133514
1.12062;-4.22135;0.0366605
-11.8023;-8.02949;0.64556
3.28096;9.07669;1.7819
-5.50793;0.515394;-0.42059
0.383206;-4.33207;0.049912
-8.46853;1.70239;0.888252
-5.85708;-3.8825;-0.420734
4.63179;5.57618;0.065803
-4.30759;-9.0235;0.209898
-5.05693;-2.97629;-2.55143
4.91082;5.39744;0.00377027
4.58213;4.55149;0.245511
-5.79904;-3.47508;1.0425
4.68389;4.79996;0.485185
6.46425;-8.48211;-0.0486438
-7.22838;-3.54093;-1.01749
0.832357;-3.78506;-0.0306486
11.5635;1.7729;0.413519
-10.304;22.1457;1.53345
4.75313;4.3784;0.274938
-1.58522;-5.29836;-0.136599
2.71246;-5.0481;-0.14191
12.629;-1.71034;-0.557322
1.15621;-4.4978;0.281876
-7.66334;-2.08074;-0.532655
-21.3128;0.928567;-0.968262
-5.84102;-3.53492;1.07873
2.6524;-6.90038;-0.281103
4.52999;4.73579;0.204282
0.0998281;6.63651;3.43463
-1.2835;9.50522;-0.271879
1.54509;-2.48052;-0.0385871
25.7975;-23.4153;-1.25591
2.66795;-6.89854;-0.324655
-3.83947;0.14301;-1.08479
1.03851;8.49706;-0.347929
-5.82455;-3.4722;0.9969
0.826867;-4.73291;0.219699
3.86342;6.88575;-0.0940415
-6.56568;-4.35064;-0.657767
-3.06576;9.06274;-3.87102
-1.74476;-5.26954;-0.275754
-5.95891;-3.48999;-0.196173
-5.78961;-4.32485;-0.505661
4.28696;5.13541;0.284288
-2.01344;2.85249;0.730443
-3.98413;14.0591;-0.0859942
21.8042;0.545291;-1.34829
14.1695;-27.8055;4.65731
-10.6569;1.87839;-2.32889
2.84762;-5.75172;0.921689
-1.68316;-5.20634;-0.233018
5.41732;-0.0940108;0.0257332
-2.22896;15.2373;-1.01
4.32435;6.22574;0.460687
-0.980722;7.83949;0.116847
-3.77652;-5.36283;0.0616904
-3.36731;-5.06404;-0.797563
1.51848;-5.89992;-0.458121
-3.89789;6.09236;0.656784
0.858021;-4.78736;0.356762
-1.12903;6.93292;-0.829249
-3.62684;4.63961;0.137155
-4.77791;3.87542;0.19556
-2.75725;-5.90971;-0.694623
6.73214;2.26866;-0.0881887
