x;y;z
0.590765;1.76609;-0.201308
3.78114;3.94185;2.38066
3.31839;4.12443;-0.00116964
-2.34164;-3.57018;-0.383198
-1.42985;2.87868;-0.898978
3.85008;4.13001;-0.111125
0.898067;-2.99625;0.168874
-8.30989;-5.54495;0.409581
2.26985;6.47327;1.34316
-3.84468;0.514891;-0.307517
0.0739208;-2.90575;-0.0438571
-5.92003;1.32656;0.650557
-4.44598;-2.45132;-0.254456
3.56158;3.99068;-0.0755268
-3.30262;-6.1065;0.137625
-3.88103;-2.16472;-1.11519
3.2411;3.82329;-0.051174
3.37197;2.71585;0.279844
-4.26385;-2.43231;0.440786
3.38818;3.11608;0.140077
4.50133;-6.02107;-0.0354223
-4.92187;-2.3249;-0.627152
0.672766;-2.42051;0.0232189
8.18787;1.23296;0.296504
-6.82585;14.7074;1.04618
3.28801;2.87616;0.40227
-1.13463;-3.79729;-0.0995626
1.502;-3.66366;0.0349751
8.80764;-1.3195;-0.397611
0.604781;-3.11264;0.10357
-5.37876;-1.13107;-0.344461
-14.6966;0.685951;-0.665514
-4.05361;-2.41062;0.288182
1.74969;-5.02878;-0.233531
3.01771;3.21617;0.300353
0.0515604;4.80913;2.23174
-0.693356;6.66541;-0.164671
1.27999;-1.71252;-0.0532955
17.3907;-15.8405;-0.837345
1.74937;-5.05428;-0.208368
-2.50955;0.183868;-0.778905
0.88509;6.03579;-0.284528
-4.27872;-2.37335;0.387959
0.878252;-3.55843;0.173154
2.92241;5.00643;-0.0946464
-4.50243;-2.89725;-0.413793
-1.94103;6.33549;-2.42475
-1.34988;-3.64717;-0.149894
-3.86958;-2.45213;-0.154972
-4.55302;-2.59695;-0.218189
3.4597;3.37061;0.0969545
-1.35275;2.0265;0.503802
-2.64252;9.92886;-0.0397964
15.059;0.190705;-0.928513
9.67726;-19.3815;3.22039
-7.40817;1.15211;-1.54033
1.98894;-4.21309;0.722632
-1.27645;-3.62234;-0.135738
3.82977;-0.337357;0.0138166
-1.68207;10.4478;-0.781673
3.06838;4.18313;0.476441
-0.523911;5.51049;-0.00531299
-2.82772;-3.96495;0.120334
-2.52298;-3.67491;-0.660832
0.737941;-4.36171;-0.398187
-2.51997;4.41193;0.482284
0.827515;-3.659;0.189714
-0.58104;4.80777;-0.59024
-2.43418;3.42039;0.0759147
-3.29598;2.99256;0.139621
-2.33187;-4.28867;-0.498316
4.85983;1.23784;-0.0721148
