x;y;z
0.578599;1.71928;-0.19685
3.70228;3.85108;2.32931
3.23904;4.05308;-0.00580771
-2.30767;-3.4815;-0.37702
-1.39015;2.80981;-0.880174
3.77633;4.03735;-0.123835
0.88537;-2.91845;0.165248
-8.11669;-5.40753;0.396505
2.21388;6.32851;1.31839
-3.75227;0.514197;-0.301271
0.0616269;-2.8283;-0.0480213
-5.77867;1.30539;0.637138
-4.36553;-2.34656;-0.241628
3.49531;3.88545;-0.0740753
-3.24673;-5.94426;0.133497
-3.81643;-2.12073;-1.03335
3.16364;3.73345;-0.0512129
3.30555;2.63138;0.294902
-4.16677;-2.34562;0.38888
3.30795;3.02542;0.119679
4.39238;-5.88475;-0.0346869
-4.79013;-2.25904;-0.60283
0.663988;-2.351;0.0270587
8.00105;1.20312;0.290005
-6.63385;14.2968;1.01927
3.20398;2.79912;0.39137
-1.12448;-3.70183;-0.104176
1.43134;-3.58701;0.0455413
8.59636;-1.29775;-0.388746
0.570015;-3.05398;0.10394
-5.25094;-1.07995;-0.333928
-14.3313;0.672546;-0.648801
-3.96462;-2.36546;0.255752
1.70856;-4.95311;-0.228746
2.94734;3.13355;0.304259
0.049103;4.70794;2.16449
-0.660367;6.50737;-0.158699
1.26408;-1.67213;-0.0539327
16.9268;-15.4226;-0.814246
1.68755;-4.92072;-0.203158
-2.43632;0.185735;-0.761557
0.876371;5.89904;-0.280737
-4.19509;-2.32724;0.348333
0.871207;-3.49692;0.159446
2.87141;4.89922;-0.0937274
-4.38414;-2.80877;-0.396109
-1.87865;6.18453;-2.34437
-1.31218;-3.54393;-0.129485
-3.76009;-2.39811;-0.151226
-4.4837;-2.52727;-0.203781
3.41331;3.26753;0.0885486
-1.31625;1.98104;0.490766
-2.56807;9.70067;-0.037429
14.6867;0.171142;-0.905335
9.42937;-18.9166;3.14109
-7.22826;1.11179;-1.49656
1.9395;-4.12724;0.70967
-1.25732;-3.55966;-0.13796
3.74159;-0.350386;0.0131807
-1.65205;10.183;-0.768857
3.00198;4.06587;0.472233
-0.498402;5.38122;-0.0126395
-2.77333;-3.88613;0.121173
-2.47197;-3.59834;-0.647168
0.695111;-4.27419;-0.39304
-2.44325;4.31807;0.472142
0.836161;-3.58178;0.187878
-0.550536;4.69066;-0.576184
-2.36824;3.35277;0.0725679
-3.21284;2.94386;0.136411
-2.3084;-4.19459;-0.486237
4.75544;1.18147;-0.0710824
