x;y;z
1.30849;4.54196;-0.443566
8.34165;9.24419;5.20121
7.56498;8.94632;0.337172
-4.71046;-8.79485;-1.02191
-3.76235;6.91319;-1.90064
7.52102;8.79875;0.476158
1.26553;-7.21864;0.140912
-19.6205;-13.5931;1.17218
5.54238;14.847;2.72985
-9.19608;0.473492;-0.676538
1.43847;-7.20788;0.242925
-14.1459;2.52047;1.40317
-8.82237;-7.06789;-0.763287
7.2423;8.57873;0.399381
-6.54114;-15.4975;0.364158
-7.69218;-4.82928;-5.65743
7.43266;8.54915;0.382668
7.28703;8.96005;0.345486
-9.22063;-5.62675;2.43366
7.58306;8.69129;0.231617
10.8329;-13.9783;-0.0781938
-12.1893;-6.30758;-1.76562
1.248;-7.51506;0.468112
19.1141;2.98384;0.67368
-18.1183;38.8583;2.62785
7.49318;8.97113;0.94888
-2.42259;-9.30586;-0.877108
5.22659;-8.19108;-0.48117
21.1897;-2.57686;-0.912821
0.996684;-7.51128;0.306947
-12.6757;-4.30078;-0.945678
-36.1729;1.47284;-1.6483
-9.44552;-5.81939;2.2469
4.61725;-10.9089;-0.466538
7.60036;8.99246;0.103221
0.223189;10.7202;6.07929
-2.58019;15.7994;-0.506952
2.0654;-4.36072;0.00304565
44.6942;-40.4419;-2.19656
4.61682;-10.9342;-0.441295
-6.84075;0.0242868;-1.73895
1.36952;13.9651;-0.471805
-9.64426;-6.46918;2.34233
1.56177;-7.17707;0.327707
6.11486;10.8223;0.00382922
-10.8979;-7.34483;-1.06786
-5.5738;15.1628;-7.08476
-2.80097;-8.67965;-0.357687
-10.6607;-6.1802;-0.349348
-8.88859;-7.90758;-0.935993
7.60185;8.71244;0.466444
-3.49732;4.71725;1.20423
-6.9752;23.3223;-0.197463
36.9556;1.34244;-2.29098
24.2669;-46.7393;7.88668
-17.918;3.49534;-4.08418
4.64254;-9.15232;1.21604
-2.84041;-8.27326;-0.0780921
8.9463;0.481454;0.0540114
-3.46583;25.9665;-1.51365
7.29051;10.2958;0.191193
-1.98677;13.0234;0.345178
-5.71634;-8.41098;-0.258455
-4.84324;-8.44791;-0.780085
3.25912;-9.19945;-0.481396
-6.94468;9.79413;1.01717
1.37486;-7.19836;-0.0581244
-2.33761;11.7159;-1.30586
-6.29682;7.35291;0.274006
-8.01968;5.86509;0.313442
-3.73252;-9.18157;-1.00877
10.8623;4.6262;-0.113656
