x;y;z
0.340155;0.811905;-0.103928
2.13962;2.06619;1.27274
1.7571;2.40755;-0.064849
-1.61224;-1.9734;-0.335937
-0.612686;1.46237;-0.480192
2.06678;2.06746;-0.235418
0.516013;-1.49968;0.0618429
-4.32825;-2.71444;0.13927
1.11368;3.46489;0.812396
-1.92963;0.472712;-0.177537
-0.0922498;-1.38283;-0.0936011
-2.99261;0.872896;0.362225
-2.66482;-0.663573;-0.00472297
2.02006;1.87956;-0.0222392
-2.132;-2.72027;0.04513
-2.44924;-1.34838;-0.122153
1.82827;2.01886;0.0426963
1.80016;1.36299;0.4294
-2.21488;-1.09821;-0.226367
1.75301;1.37135;0.0274549
2.2421;-3.20519;-0.0199139
-2.32967;-1.14913;-0.033506
0.487674;-1.11961;0.100056
4.33455;0.619582;0.161524
-2.88525;6.28263;0.493632
1.75709;1.41568;0.0530894
-0.795488;-1.90907;-0.060699
0.456991;-2.23306;-0.0701675
4.458;-0.865932;-0.213763
-0.00098297;-1.89502;0.0899216
-2.69302;-0.143953;-0.122212
-7.19901;0.410203;-0.322491
-2.13385;-0.881779;-0.290026
0.644498;-2.79989;-0.093383
1.80224;1.40638;0.225298
0.00855291;2.71857;0.816814
-0.00101239;3.36701;-0.0430077
0.894602;-0.946701;-0.0548381
7.878;-7.26986;-0.363541
0.659303;-2.83048;-0.104089
-1.01302;0.208869;-0.405435
0.691641;3.1935;-0.193941
-2.4584;-1.33513;-0.169349
0.568431;-2.02888;0.156217
1.88469;2.67126;-0.0548974
-2.29948;-0.926241;-0.125652
-0.646854;3.218;-0.75113
-0.760289;-1.84955;-0.0357241
-1.90108;-1.30827;-0.0575526
-2.71744;-0.98549;-0.0168705
2.21989;1.21989;-0.0160472
-0.600891;1.09821;0.214888
-1.09721;5.23538;-0.00819643
7.41693;-0.21013;-0.452655
4.59405;-9.84827;1.59405
-3.69064;0.314275;-0.631023
0.891951;-2.41149;0.385984
-0.880626;-1.88669;-0.035559
1.99747;-0.589951;0.00155602
-1.07464;4.99566;-0.499829
1.78236;1.68944;0.199335
0.0108307;2.82717;-0.170781
-1.65359;-2.2752;0.0252865
-1.4976;-1.94875;-0.179915
-0.111212;-2.47545;-0.233081
-0.923788;2.441;0.250534
0.56943;-2.01311;0.165614
0.050185;2.42008;-0.269008
-1.07812;2.02461;0.0122531
-1.53186;1.99103;0.0683486
-1.81912;-2.18403;-0.19627
2.68097;0.0988909;-0.0460522
