x;y;z
1.11913;3.80864;-0.38224
7.15105;7.85287;4.48471
6.61179;7.15574;0.29734
-4.03734;-7.47627;-0.85652
-3.1487;5.85383;-1.64943
6.18581;7.55052;0.207339
1.42569;-5.91948;-0.00694308
-16.6502;-11.4792;0.97228
4.68339;12.6614;2.37328
-7.79919;0.493759;-0.578797
1.22467;-6.17903;0.394078
-11.992;2.21196;1.20926
-7.68277;-5.83255;-0.636424
6.4441;7.65335;0.482493
-5.69401;-13.0435;0.306259
-6.69164;-4.12266;-4.48669
6.58612;7.57014;0.396965
6.61142;7.17426;0.291829
-8.03353;-5.1098;1.85838
6.61005;7.23074;0.2689
9.17589;-11.8916;-0.0669557
-10.3232;-5.25445;-1.49382
1.13519;-6.09228;0.0315968
16.2461;2.52355;0.575027
-15.1466;32.5024;2.21168
6.47658;7.47194;0.268391
-2.12334;-7.83351;-0.673819
4.29117;-6.98975;-0.35888
17.9367;-2.24851;-0.777973
1.10835;-6.6047;0.377411
-10.7826;-3.4471;-0.789588
-30.5221;1.26593;-1.3897
-8.10159;-4.97026;1.86035
3.87378;-9.40704;-0.378026
6.30095;7.19357;0.272339
0.174648;9.16941;5.07962
-2.09019;13.4146;-0.418297
1.87467;-3.62778;-0.0136014
37.5069;-33.9659;-1.83881
3.8918;-9.41142;-0.422257
-5.69786;0.0722367;-1.49382
1.24487;11.8921;-0.426538
-8.06102;-5.00146;1.86517
0.974334;-6.23278;0.262013
5.23586;9.35992;-0.0448662
-9.27219;-6.22571;-0.921159
-4.62188;12.8457;-5.86619
-2.36848;-7.38999;-0.341733
-8.88702;-5.1383;-0.287143
-7.70616;-6.59009;-0.784732
5.93017;7.44975;0.457268
-2.93292;4.00709;1.02773
-5.83991;19.8014;-0.154518
31.1939;1.03924;-1.93252
20.4264;-39.538;6.65845
-15.1605;2.8819;-3.41831
3.97392;-7.86413;1.12183
-2.37565;-7.05616;-0.0307218
7.60819;0.259492;0.0430906
-2.9948;21.8894;-1.32281
6.15988;8.81986;0.300856
-1.6063;11.0571;0.263669
-5.00692;-7.25836;-0.11338
-4.33514;-7.10012;-0.801777
2.6004;-7.95855;-0.483059
-5.7914;8.394;0.883219
0.993107;-6.1415;0.190451
-1.88077;9.89629;-1.1311
-5.28261;6.32403;0.222245
-6.79581;5.10747;0.269377
-3.35641;-7.97938;-0.906597
9.30009;3.72479;-0.105164
