x;y;z
0.432367;1.15929;-0.141334
2.74781;2.75723;1.6945
2.31577;3.08953;-0.0506523
-1.91504;-2.47816;-0.351324
-0.91281;1.9818;-0.643609
2.78243;2.86396;-0.233939
0.68152;-2.02743;0.106589
-5.79156;-3.75419;0.23884
1.53948;4.5776;1.01366
-2.63597;0.496804;-0.225843
-0.0498003;-1.92014;-0.0855718
-4.07258;1.04525;0.471875
-3.37279;-1.22447;-0.0768521
2.63615;2.63898;-0.0433059
-2.56902;-3.97869;0.081703
-3.04924;-1.67549;-0.118424
2.30295;2.68492;-0.014401
2.41862;1.78276;0.443937
-2.95996;-1.67863;-0.138954
2.35353;1.98811;-0.0401126
3.07649;-4.24193;-0.0257394
-3.1134;-1.50616;-0.205268
0.556471;-1.56326;0.0747851
5.7516;0.844529;0.211443
-4.32851;9.36753;0.69614
2.27105;1.88905;0.196147
-0.972577;-2.50253;-0.00567379
0.665685;-2.76121;-4.31638e-05
6.05496;-1.03429;-0.281678
0.197759;-2.34574;0.103822
-3.6945;-0.485497;-0.205503
-9.94508;0.511394;-0.448117
-3.03109;-1.59596;-0.243929
1.07173;-3.65235;-0.168477
2.19471;2.11028;0.309549
0.0221304;3.48844;1.34584
-0.25908;4.59217;-0.0868653
1.05432;-1.2097;-0.0583159
11.3592;-10.4062;-0.536968
1.05942;-3.65731;-0.130616
-1.55926;0.203475;-0.547409
0.767523;4.24534;-0.231166
-3.06577;-1.65724;-0.167667
0.782432;-2.6295;0.159616
2.26512;3.56921;-0.0745576
-3.05939;-1.54725;-0.170046
-1.12539;4.36592;-1.37166
-0.966676;-2.51753;-0.0547041
-2.54325;-1.74151;-0.0842751
-3.50777;-1.60883;-0.0639661
2.74712;1.99684;0.00941331
-0.877251;1.4367;0.327298
-1.6683;6.95805;-0.0132758
10.2156;-0.0635626;-0.626978
6.45423;-13.3372;2.18929
-5.06013;0.624434;-0.967464
1.31856;-3.08406;0.53058
-0.969501;-2.62676;-0.156968
2.67542;-0.501824;0.00582112
-1.29463;6.99667;-0.610187
2.23348;2.62574;0.35484
-0.188382;3.81938;-0.106694
-2.09817;-2.91716;0.0979899
-1.83372;-2.64203;-0.394447
0.190346;-3.19171;-0.309578
-1.51436;3.17655;0.343034
0.790685;-2.61346;0.156265
-0.181973;3.28855;-0.396395
-1.57547;2.53757;0.0335675
-2.19623;2.35891;0.0961477
-2.02307;-3.0058;-0.326771
3.48962;0.510781;-0.056977
