x;y;z
1.15576;3.95048;-0.394199
7.38186;8.12231;4.62439
6.88329;7.53042;0.262066
-4.16594;-7.73723;-0.891768
-3.26748;6.05898;-1.6985
6.41145;7.72967;0.25792
1.4158;-6.14345;0.00495032
-17.2254;-11.8885;1.011
4.84973;13.0851;2.4426
-8.07003;0.490157;-0.597676
1.28161;-6.36716;0.431178
-12.4093;2.27186;1.24693
-7.90269;-6.06962;-0.661017
6.63145;7.8535;0.523406
-5.85815;-13.5191;0.317522
-6.88544;-4.25932;-4.71404
6.69071;7.77102;0.412316
6.71915;7.4685;0.385738
-8.29441;-5.20502;1.92085
6.81646;7.45039;0.186968
9.49695;-12.2958;-0.0691304
-10.6859;-5.45829;-1.54742
1.17081;-6.40339;0.0867891
16.8015;2.61266;0.594144
-15.7218;33.7327;2.29224
6.72445;7.85132;0.388147
-2.17831;-8.12242;-0.715764
4.47382;-7.22176;-0.383085
18.5666;-2.31216;-0.804101
1.07227;-6.80703;0.372413
-11.15;-3.6116;-0.819871
-31.6159;1.30599;-1.43976
-8.36558;-5.16554;2.02182
4.02385;-9.6882;-0.420314
6.55204;7.53302;0.213446
0.183919;9.46975;5.27358
-2.18527;13.8769;-0.435517
1.91211;-3.76823;-0.0104461
38.898;-35.2193;-1.90806
4.02753;-9.71844;-0.401366
-5.91896;0.0631637;-1.54155
1.26908;12.2938;-0.435434
-8.33333;-5.25901;1.9229
1.09913;-6.41199;0.287416
5.40388;9.64578;-0.0362658
-9.58824;-6.44381;-0.95025
-4.80628;13.2944;-6.10232
-2.45191;-7.64276;-0.346888
-9.23115;-5.3389;-0.298823
-7.93505;-6.84835;-0.814917
6.18439;7.72265;0.457957
-3.04216;4.14448;1.06217
-6.05981;20.483;-0.162794
32.3092;1.09793;-2.00191
21.1698;-40.9319;6.89618
-15.6945;3.00075;-3.54732
4.10441;-8.11381;1.14148
-2.46546;-7.28527;-0.0340161
7.8675;0.302217;0.0451911
-3.08593;22.6788;-1.35979
6.37897;9.11171;0.279269
-1.6801;11.4381;0.279864
-5.14693;-7.48171;-0.139578
-4.43752;-7.35449;-0.796736
2.72819;-8.19966;-0.483491
-6.01505;8.66559;0.909373
1.02036;-6.32465;0.101831
-1.96942;10.2484;-1.16542
-5.47902;6.52342;0.232292
-7.03337;5.25403;0.277962
-3.42879;-8.21507;-0.927847
9.60313;3.89889;-0.106902
