x;y;z
1.17255;4.01551;-0.399665
7.48758;8.24578;4.68823
6.97787;7.70265;0.238771
-4.22519;-7.85599;-0.907539
-3.32192;6.15299;-1.72091
6.52284;7.80819;0.285918
1.40758;-6.24935;0.0127026
-17.4889;-12.0761;1.02874
4.92596;13.2792;2.47431
-8.19408;0.48845;-0.606336
1.30238;-6.45474;0.441369
-12.6005;2.29929;1.26417
-8.0036;-6.17861;-0.672274
6.72518;7.93443;0.523909
-5.93334;-13.737;0.322674
-6.97424;-4.32197;-4.81811
6.73336;7.87884;0.40631
6.77809;7.61271;0.412326
-8.45882;-5.26286;1.96043
6.91417;7.5589;0.17513
9.64405;-12.481;-0.0701272
-10.8519;-5.55173;-1.57181
1.17962;-6.54286;0.120809
17.056;2.6535;0.602902
-15.9854;34.2965;2.32916
6.82929;8.0017;0.464087
-2.20403;-8.2541;-0.734502
4.55725;-7.32819;-0.394087
18.8552;-2.34131;-0.816071
1.05638;-6.89528;0.36869
-11.3183;-3.68712;-0.833739
-32.1172;1.32434;-1.4627
-8.47253;-5.27464;2.07442
4.08295;-9.8395;-0.392413
6.67464;7.69444;0.192578
0.18819;9.60737;5.36239
-2.22881;14.0887;-0.443399
1.92918;-3.83284;-0.0089885
39.5356;-35.7938;-1.93979
4.09914;-9.83625;-0.438976
-6.02031;0.0589691;-1.56338
1.28017;12.4779;-0.439488
-8.42719;-5.34333;1.95926
1.16049;-6.49031;0.290837
5.48123;9.77632;-0.0321767
-9.73284;-6.54352;-0.963465
-4.89076;13.5;-6.2105
-2.49014;-7.75815;-0.348895
-9.38872;-5.43103;-0.304231
-8.03996;-6.96616;-0.828596
6.30807;7.84757;0.455424
-3.09222;4.20745;1.07791
-6.16058;20.7954;-0.166594
32.8203;1.12482;-2.03371
21.5105;-41.5707;7.00514
-15.9392;3.0552;-3.60643
4.16403;-8.22818;1.15024
-2.50666;-7.39136;-0.0365617
7.98629;0.321839;0.0461561
-3.12771;23.0406;-1.37674
6.47935;9.24446;0.269394
-1.7139;11.6126;0.287215
-5.21066;-7.58401;-0.151911
-4.48373;-7.47208;-0.794402
2.78672;-8.31;-0.483557
-6.11748;8.78996;0.92132
1.0445;-6.41557;0.066454
-2.01001;10.4099;-1.18107
-5.56902;6.61476;0.236892
-7.14214;5.32122;0.281887
-3.46205;-8.32256;-0.937343
9.74191;3.97874;-0.107682
