x;y;z
0.478148;1.33386;-0.159146
3.04799;3.10019;1.89711
2.60042;3.40977;-0.0396283
-2.03753;-2.7731;-0.348293
-1.06221;2.24089;-0.720083
3.11337;3.24334;-0.210139
0.753693;-2.29843;0.127337
-6.51977;-4.2719;0.288282
1.75088;5.12789;1.11063
-2.98641;0.504378;-0.249555
-0.0216791;-2.19872;-0.0766726
-4.60799;1.12804;0.524527
-3.69924;-1.54427;-0.123309
2.91757;3.02502;-0.053621
-2.78259;-4.59743;0.098457
-3.29316;-1.76804;-0.329168
2.55889;3.00937;-0.0335419
2.71258;2.02094;0.413501
-3.4049;-1.8464;-0.0708891
2.64897;2.30562;-0.0115088
3.48968;-4.75694;-0.0285676
-3.66517;-1.72803;-0.363052
0.590464;-1.79997;0.059966
6.45635;0.956725;0.236127
-5.04928;10.9085;0.797194
2.54819;2.16289;0.261464
-1.09573;-2.91952;-0.0704589
0.793763;-2.98462;0.0760685
6.85054;-1.11721;-0.315299
0.306437;-2.56847;0.105967
-4.18605;-0.666623;-0.246123
-11.3165;0.561824;-0.510861
-3.3506;-1.93473;-0.012969
1.27676;-4.07329;-0.188288
2.41222;2.43918;0.3185
0.0299888;3.87075;1.60443
-0.385726;5.1951;-0.109292
1.12439;-1.34934;-0.0577968
13.0993;-11.974;-0.623638
1.25629;-4.0501;-0.155341
-1.83297;0.19897;-0.615703
0.802614;4.76507;-0.247631
-3.355;-1.80015;-0.0586299
0.880765;-2.91362;0.129447
2.45368;3.99509;-0.0821922
-3.40696;-2.02384;-0.219288
-1.36193;4.93594;-1.67758
-1.0598;-2.80342;-0.064077
-2.89916;-1.95002;-0.105583
-3.84708;-1.91081;-0.100112
2.97888;2.39508;0.0299556
-1.0147;1.60652;0.380034
-1.95104;7.81618;-0.0196074
11.6135;0.00976944;-0.714019
7.38408;-15.081;2.48678
-5.73989;0.777581;-1.1337
1.51903;-3.41317;0.591935
-0.994893;-2.91593;-0.129084
3.01046;-0.455617;0.00805977
-1.40562;7.99424;-0.661145
2.46802;3.08232;0.406421
-0.286171;4.30996;-0.0760269
-2.31407;-3.22536;0.113452
-2.0346;-2.9541;-0.49393
0.345747;-3.53709;-0.340309
-1.80648;3.53686;0.385175
0.86113;-2.95214;0.137651
-0.297644;3.7258;-0.455141
-1.82354;2.7931;0.045412
-2.51844;2.54192;0.109143
-2.1139;-3.39141;-0.380262
3.88819;0.71909;-0.0617679
