x;y;z
1.05354;3.55465;-0.36069
6.73701;7.3699;4.23309
6.18517;6.89047;0.283442
-3.80947;-7.00298;-0.791292
-2.93587;5.48611;-1.56091
5.82332;7.20091;0.146992
1.41491;-5.53738;-0.0151363
-15.6193;-10.7456;0.902862
4.38523;11.9012;2.24868
-7.3133;0.499763;-0.545016
1.07238;-5.84803;0.285734
-11.2437;2.10435;1.14155
-7.28979;-5.41047;-0.592185
6.14655;7.22647;0.347458
-5.39968;-12.1905;0.286001
-6.34421;-3.87799;-4.07825
6.30858;7.18685;0.330699
6.30085;6.5765;0.216841
-7.65506;-4.74979;1.73736
6.16977;6.62396;0.396199
8.60015;-11.1671;-0.0630594
-9.6711;-4.88925;-1.39644
1.05559;-5.55001;-0.0171235
15.2506;2.36386;0.540744
-14.1159;30.2981;2.06734
6.06024;6.75454;0.140144
-2.02923;-7.30933;-0.594284
3.96172;-6.57473;-0.314786
16.8079;-2.13436;-0.731122
1.16983;-6.20838;0.37614
-10.1228;-3.15335;-0.735225
-28.5622;1.19415;-1.30001
-7.54015;-4.65703;1.71688
3.62323;-8.86478;-0.388887
5.91566;6.63056;0.381835
0.158208;8.63105;4.73145
-1.91949;12.5854;-0.387362
1.80684;-3.37806;-0.0191659
35.0145;-31.72;-1.71474
3.62816;-8.89609;-0.372275
-5.30186;0.0882001;-1.40791
1.20135;11.1716;-0.410405
-7.57147;-4.69341;1.62039
0.857394;-5.81719;0.197189
4.93743;8.84396;-0.0590658
-8.70382;-5.83289;-0.868089
-4.29129;12.0414;-5.44271
-2.2184;-6.93409;-0.32947
-8.26909;-4.78047;-0.266593
-7.29624;-6.12282;-0.729393
5.51506;6.96076;0.439506
-2.73721;3.76104;0.965641
-5.44565;18.5798;-0.139741
29.1956;0.934099;-1.8082
19.0946;-37.0407;6.23251
-14.2032;2.6688;-3.18698
3.73865;-7.41625;1.08472
-2.21505;-6.65438;-0.0336726
7.14316;0.183269;0.0393449
-2.83158;20.4746;-1.25647
5.76717;8.28906;0.339318
-1.47384;10.3739;0.234079
-4.75283;-6.85754;-0.0690182
-4.14584;-6.65173;-0.809678
2.37103;-7.52514;-0.481205
-5.39011;7.90658;0.836035
0.934686;-5.90258;0.355721
-1.72162;9.26537;-1.06891
-4.93057;5.96646;0.20421
-6.36921;4.84497;0.253916
-3.22741;-7.55264;-0.866636
8.7562;3.41336;-0.101923
