x;y;z
0.943783;3.1298;-0.324198
6.04205;6.56046;3.80733
5.49475;6.42699;0.273882
-3.43655;-6.1973;-0.68003
-2.57944;4.86991;-1.41063
5.29806;6.54516;0.105395
1.32264;-4.92693;-0.00574634
-13.892;-9.51643;0.786484
3.88559;10.6251;2.03864
-6.49765;0.508303;-0.488583
0.673248;-5.21332;0.129616
-9.98885;1.92324;1.02751
-6.63596;-4.712;-0.517021
5.63222;6.45764;0.20776
-4.90599;-10.7593;0.251809
-5.76182;-3.46895;-3.39063
5.70165;6.37432;0.100808
5.55996;5.73944;0.200666
-6.73565;-4.19473;1.36892
5.35274;5.75613;0.466422
7.6345;-9.95253;-0.0565347
-8.57204;-4.27807;-1.22897
0.942048;-4.70836;-0.0398976
13.5823;2.09636;0.483234
-12.39;26.6068;1.82561
5.45545;5.57156;0.11129
-1.88808;-6.40147;-0.441058
3.40286;-5.88183;-0.238622
14.9166;-1.94277;-0.652544
1.22208;-5.46034;0.348605
-9.01343;-2.6647;-0.643843
-25.28;1.07393;-1.1498
-6.79513;-4.14172;1.45454
3.19868;-7.99022;-0.364062
5.42614;5.70443;0.403998
0.131246;7.72871;4.14628
-1.63255;11.1937;-0.3353
1.69078;-2.96607;-0.028211
30.8409;-27.9595;-1.50698
3.18474;-7.98765;-0.329056
-4.63924;0.113954;-1.26278
1.12805;9.96277;-0.382745
-6.83851;-4.12295;1.38229
0.869553;-5.24496;0.197832
4.44532;7.96794;-0.0787525
-7.74437;-5.16838;-0.776082
-3.73703;10.6937;-4.73229
-1.96103;-6.16555;-0.296139
-7.22918;-4.18734;-0.233217
-6.61116;-5.325;-0.632484
4.90583;6.13829;0.380921
-2.4095;3.34935;0.860372
-4.78467;16.5335;-0.115191
25.849;0.758039;-1.59998
16.8645;-32.8589;5.51925
-12.5988;2.31142;-2.79901
3.33981;-6.66443;1.01645
-1.94779;-6.01386;-0.0756443
6.36304;0.0567088;0.0331297
-2.55848;18.1043;-1.14514
5.11032;7.37593;0.400607
-1.25127;9.22806;0.18268
-4.31805;-6.18374;-0.00284836
-3.80989;-5.9204;-0.81507
1.98579;-6.79438;-0.474411
-4.71621;7.08767;0.755935
0.876086;-5.45267;0.435973
-1.45416;8.20904;-0.962511
-4.34062;5.36663;0.173911
-5.6517;4.40571;0.227756
-3.01341;-6.82285;-0.793815
7.84247;2.89354;-0.0960804
