x;y;z
0.866103;2.82924;-0.297982
5.54828;5.98642;3.50183
5.08336;6.08227;0.146302
-3.18028;-5.61982;-0.603016
-2.32691;4.43301;-1.30231
5.02386;6.0194;0.134063
1.21364;-4.50809;0.0143087
-12.6674;-8.64504;0.703919
3.53129;9.71841;1.88859
-5.91808;0.512959;-0.448701
0.48906;-4.69271;0.0790363
-9.09824;1.79409;0.946102
-6.17756;-4.22397;-0.461879
5.0376;5.88719;0.113686
-4.5555;-9.74273;0.227334
-5.34877;-3.17987;-2.90002
5.27197;5.78535;0.0251291
4.92317;5.10153;0.26204
-6.23969;-3.84215;1.22212
4.95987;5.20473;0.514428
6.94901;-9.09099;-0.0519106
-7.78683;-3.84567;-1.1064
0.8752;-4.15648;-0.0373307
12.3993;1.90678;0.442401
-11.1673;23.9918;1.65436
5.05659;4.83455;0.194524
-1.80259;-5.69069;-0.287668
3.00046;-5.39263;-0.182625
13.576;-1.80666;-0.596766
1.20076;-4.89794;0.314989
-8.22345;-2.32139;-0.578783
-22.9546;0.98873;-1.04339
-6.15356;-3.78308;1.18443
2.8758;-7.36044;-0.298918
4.95791;5.07377;0.233178
0.112653;7.08874;3.7298
-1.42828;10.205;-0.298197
1.60623;-2.67961;-0.0343809
27.8845;-25.2957;-1.35981
2.88658;-7.34378;-0.343761
-4.17028;0.131303;-1.15884
1.07571;9.10433;-0.362552
-6.27447;-3.67421;1.16783
0.839476;-4.94291;0.195689
4.10253;7.33702;-0.0889754
-7.05672;-4.69141;-0.707912
-3.34377;9.73797;-4.22785
-1.76877;-5.63593;-0.246615
-6.48678;-3.77455;-0.210684
-6.12819;-4.74477;-0.55975
4.52819;5.55233;0.326944
-2.17734;3.058;0.784625
-4.31568;15.0833;-0.0979972
23.4781;0.633325;-1.45245
15.2847;-29.8966;5.01399
-11.461;2.05775;-2.52363
3.05285;-6.13008;0.962724
-1.76329;-5.61012;-0.179395
5.80912;-0.0319788;0.0287768
-2.36523;16.4241;-1.06602
4.64773;6.70844;0.438609
-1.09292;8.41468;0.144643
-4.00284;-5.70362;0.0372065
-3.55568;-5.41527;-0.808905
1.71207;-6.27187;-0.466129
-4.23711;6.5051;0.69818
0.861177;-5.08089;0.412344
-1.26385;7.46092;-0.885106
-3.92234;4.94078;0.15238
-5.14052;4.09479;0.208974
-2.86304;-6.29217;-0.737257
7.19253;2.52675;-0.091579
